log,method,size0,normal0,anom0,size1,normal1,anom1,nu
log2,oc,742,742,0,758,758,0,0.05
log2,oc,742,742,0,758,758,0,0.1
log2,oc,742,742,0,758,758,0,0.3
log2,oc,1500,1500,0,0,0,0,0.5
log1_anom_insert_5,oc,122,120,2,1378,1307,71,0.05
log1_anom_insert_5,oc,122,120,2,1378,1307,71,0.1
log1_anom_insert_5,oc,460,447,13,1040,980,60,0.3
log1_anom_insert_5,oc,783,749,34,717,678,39,0.5
log1_anom_insert_5,sv,78,74,4,1422,1353,69,-1
log1_anom_rework_15,oc,97,79,18,1403,1182,221,0.05
log1_anom_rework_15,oc,131,108,23,1369,1153,216,0.1
log1_anom_rework_15,oc,464,391,73,1036,870,166,0.3
log1_anom_rework_15,oc,791,674,117,709,587,122,0.5
log1_anom_rework_15,sv,129,99,30,1371,1162,209,-1
log2_anom_all_5,oc,756,720,36,744,709,35,0.05
log2_anom_all_5,oc,756,720,36,744,709,35,0.1
log2_anom_all_5,oc,756,720,36,744,709,35,0.3
log2_anom_all_5,oc,756,720,36,744,709,35,0.5
log2_anom_all_5,sv,0,0,0,1500,1429,71,-1
log1_anom_rework_30,oc,72,51,21,1428,994,434,0.05
log1_anom_rework_30,oc,136,97,39,1364,948,416,0.1
log1_anom_rework_30,oc,576,412,164,924,633,291,0.3
log1_anom_rework_30,oc,802,577,225,698,468,230,0.5
log1_anom_rework_30,sv,272,183,89,1228,862,366,-1
log1_anom_all_20,oc,84,71,13,1416,1126,290,0.05
log1_anom_all_20,oc,166,131,35,1334,1066,268,0.1
log1_anom_all_20,oc,501,402,99,999,795,204,0.3
log1_anom_all_20,oc,773,617,156,727,580,147,0.5
log1_anom_all_20,sv,0,0,0,1500,1197,303,-1
log1_anom_rework_5,oc,76,73,3,1424,1354,70,0.05
log1_anom_rework_5,oc,168,159,9,1332,1268,64,0.1
log1_anom_rework_5,oc,445,428,17,1055,999,56,0.3
log1_anom_rework_5,oc,752,718,34,748,709,39,0.5
log1_anom_rework_5,sv,41,37,4,1459,1390,69,-1
log1_anom_all_10,oc,61,54,7,1439,1269,170,0.05
log1_anom_all_10,oc,129,117,12,1371,1206,165,0.1
log1_anom_all_10,oc,472,418,54,1028,905,123,0.3
log1_anom_all_10,oc,826,732,94,674,591,83,0.5
log1_anom_all_10,sv,0,0,0,1500,1323,177,-1
log2_anom_earlylate_15,oc,723,637,86,777,674,103,0.05
log2_anom_earlylate_15,oc,723,637,86,777,674,103,0.1
log2_anom_earlylate_15,oc,723,637,86,777,674,103,0.3
log2_anom_earlylate_15,oc,1500,1311,189,0,0,0,0.5
log2_anom_earlylate_15,sv,0,0,0,1500,1311,189,-1
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.05
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.1
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.3
log2_anom_earlylate_5,oc,0,0,0,1500,1430,70,0.5
log2_anom_earlylate_5,sv,0,0,0,1500,1430,70,-1
log2_anom_earlylate_30,oc,0,0,0,1500,1097,403,0.05
log2_anom_earlylate_30,oc,0,0,0,1500,1097,403,0.1
log2_anom_earlylate_30,oc,0,0,0,1500,1097,403,0.3
log2_anom_earlylate_30,oc,1500,1097,403,0,0,0,0.5
log2_anom_earlylate_30,sv,0,0,0,1500,1097,403,-1
log2_anom_earlylate_20,oc,738,604,134,762,622,140,0.05
log2_anom_earlylate_20,oc,738,604,134,762,622,140,0.1
log2_anom_earlylate_20,oc,738,604,134,762,622,140,0.3
log2_anom_earlylate_20,oc,1500,1226,274,0,0,0,0.5
log2_anom_earlylate_20,sv,0,0,0,1500,1226,274,-1
log1_anom_skip_20,oc,81,64,17,1419,1128,291,0.05
log1_anom_skip_20,oc,151,120,31,1349,1072,277,0.1
log1_anom_skip_20,oc,459,366,93,1041,826,215,0.3
log1_anom_skip_20,oc,790,637,153,710,555,155,0.5
log1_anom_skip_20,sv,187,151,36,1313,1041,272,-1
log2_anom_rework_5,oc,690,667,23,810,770,40,0.05
log2_anom_rework_5,oc,690,667,23,810,770,40,0.1
log2_anom_rework_5,oc,690,667,23,810,770,40,0.3
log2_anom_rework_5,oc,1460,1397,63,40,40,0,0.5
log2_anom_rework_5,sv,68,65,3,1432,1372,60,-1
log2_anom_insert_30,oc,531,355,176,969,680,289,0.05
log2_anom_insert_30,oc,531,355,176,969,680,289,0.1
log2_anom_insert_30,oc,531,355,176,969,680,289,0.3
log2_anom_insert_30,oc,1060,720,340,440,315,125,0.5
log2_anom_insert_30,sv,432,307,125,1068,728,340,-1
log1_anom_all_15,oc,41,37,4,1459,1259,200,0.05
log1_anom_all_15,oc,118,108,10,1382,1188,194,0.1
log1_anom_all_15,oc,441,387,54,1059,909,150,0.3
log1_anom_all_15,oc,710,625,85,790,671,119,0.5
log1_anom_all_15,sv,0,0,0,1500,1296,204,-1
log1_anom_earlylate_15,oc,82,71,11,1418,1213,205,0.05
log1_anom_earlylate_15,oc,114,97,17,1386,1187,199,0.1
log1_anom_earlylate_15,oc,435,371,64,1065,913,152,0.3
log1_anom_earlylate_15,oc,807,690,117,693,594,99,0.5
log1_anom_earlylate_15,sv,0,0,0,1500,1284,216,-1
log1_anom_insert_20,oc,117,98,19,1383,1114,269,0.05
log1_anom_insert_20,oc,193,156,37,1307,1056,251,0.1
log1_anom_insert_20,oc,535,439,96,965,773,192,0.3
log1_anom_insert_20,oc,672,546,126,828,666,162,0.5
log1_anom_insert_20,sv,302,243,59,1198,969,229,-1
log2_anom_skip_30,oc,72,51,21,1428,1009,419,0.05
log2_anom_skip_30,oc,135,100,35,1365,960,405,0.1
log2_anom_skip_30,oc,933,668,265,567,392,175,0.3
log2_anom_skip_30,oc,933,668,265,567,392,175,0.5
log2_anom_skip_30,sv,457,319,138,1043,741,302,-1
log1_anom_insert_30,oc,43,31,12,1457,1031,426,0.05
log1_anom_insert_30,oc,155,106,49,1345,956,389,0.1
log1_anom_insert_30,oc,478,336,142,1022,726,296,0.3
log1_anom_insert_30,oc,868,607,261,632,455,177,0.5
log1_anom_insert_30,sv,452,318,134,1048,744,304,-1
log1_anom_skip_30,oc,89,55,34,1411,994,417,0.05
log1_anom_skip_30,oc,168,110,58,1332,939,393,0.1
log1_anom_skip_30,oc,468,312,156,1032,737,295,0.3
log1_anom_skip_30,oc,771,530,241,729,519,210,0.5
log1_anom_skip_30,sv,288,203,85,1212,846,366,-1
log1_anom_insert_10,oc,106,95,11,1394,1245,149,0.05
log1_anom_insert_10,oc,130,118,12,1370,1222,148,0.1
log1_anom_insert_10,oc,465,429,36,1035,911,124,0.3
log1_anom_insert_10,oc,738,669,69,762,671,91,0.5
log1_anom_insert_10,sv,142,129,13,1358,1211,147,-1
log2_anom_insert_5,oc,693,660,33,807,773,34,0.05
log2_anom_insert_5,oc,693,660,33,807,773,34,0.1
log2_anom_insert_5,oc,693,660,33,807,773,34,0.3
log2_anom_insert_5,oc,693,660,33,807,773,34,0.5
log2_anom_insert_5,sv,83,79,4,1417,1354,63,-1
log2_anom_insert_10,oc,693,611,82,807,722,85,0.05
log2_anom_insert_10,oc,693,611,82,807,722,85,0.1
log2_anom_insert_10,oc,693,611,82,807,722,85,0.3
log2_anom_insert_10,oc,693,611,82,807,722,85,0.5
log2_anom_insert_10,sv,154,132,22,1346,1201,145,-1
log1_anom_all_30,oc,82,62,20,1418,991,427,0.05
log1_anom_all_30,oc,189,139,50,1311,914,397,0.1
log1_anom_all_30,oc,406,289,117,1094,764,330,0.3
log1_anom_all_30,oc,802,568,234,698,485,213,0.5
log1_anom_all_30,sv,0,0,0,1500,1053,447,-1
log1_anom_all_5,oc,82,79,3,1418,1344,74,0.05
log1_anom_all_5,oc,116,111,5,1384,1312,72,0.1
log1_anom_all_5,oc,433,409,24,1067,1014,53,0.3
log1_anom_all_5,oc,651,620,31,849,803,46,0.5
log1_anom_all_5,sv,0,0,0,1500,1423,77,-1
log1_anom_rework_10,oc,56,48,8,1444,1292,152,0.05
log1_anom_rework_10,oc,131,117,14,1369,1223,146,0.1
log1_anom_rework_10,oc,431,391,40,1069,949,120,0.3
log1_anom_rework_10,oc,722,650,72,778,690,88,0.5
log1_anom_rework_10,sv,56,51,5,1444,1289,155,-1
log1_anom_insert_15,oc,48,37,11,1452,1230,222,0.05
log1_anom_insert_15,oc,198,166,32,1302,1101,201,0.1
log1_anom_insert_15,oc,479,405,74,1021,862,159,0.3
log1_anom_insert_15,oc,738,630,108,762,637,125,0.5
log1_anom_insert_15,sv,231,193,38,1269,1074,195,-1
log2_anom_skip_15,oc,80,70,10,1420,1220,200,0.05
log2_anom_skip_15,oc,155,137,18,1345,1153,192,0.1
log2_anom_skip_15,oc,206,180,26,1294,1110,184,0.3
log2_anom_skip_15,oc,206,180,26,1294,1110,184,0.5
log2_anom_skip_15,sv,217,188,29,1283,1102,181,-1
log1_anom_earlylate_10,oc,100,91,9,1400,1257,143,0.05
log1_anom_earlylate_10,oc,164,152,12,1336,1196,140,0.1
log1_anom_earlylate_10,oc,435,393,42,1065,955,110,0.3
log1_anom_earlylate_10,oc,831,751,80,669,597,72,0.5
log1_anom_earlylate_10,sv,0,0,0,1500,1348,152,-1
log2_anom_all_30,oc,710,517,193,790,580,210,0.05
log2_anom_all_30,oc,710,517,193,790,580,210,0.1
log2_anom_all_30,oc,710,517,193,790,580,210,0.3
log2_anom_all_30,oc,710,517,193,790,580,210,0.5
log2_anom_all_30,sv,0,0,0,1500,1097,403,-1
log2_anom_all_20,oc,0,0,0,1500,1232,268,0.05
log2_anom_all_20,oc,0,0,0,1500,1232,268,0.1
log2_anom_all_20,oc,0,0,0,1500,1232,268,0.3
log2_anom_all_20,oc,704,582,122,796,650,146,0.5
log2_anom_all_20,sv,0,0,0,1500,1232,268,-1
log1_anom_earlylate_20,oc,70,56,14,1430,1147,283,0.05
log1_anom_earlylate_20,oc,134,105,29,1366,1098,268,0.1
log1_anom_earlylate_20,oc,442,344,98,1058,859,199,0.3
log1_anom_earlylate_20,oc,586,458,128,914,745,169,0.5
log1_anom_earlylate_20,sv,0,0,0,1500,1203,297,-1
log2_anom_insert_15,oc,0,0,0,1500,1277,223,0.05
log2_anom_insert_15,oc,0,0,0,1500,1277,223,0.1
log2_anom_insert_15,oc,0,0,0,1500,1277,223,0.3
log2_anom_insert_15,oc,1273,1082,191,227,195,32,0.5
log2_anom_insert_15,sv,225,193,32,1275,1084,191,-1
log2_anom_rework_15,oc,619,521,98,881,749,132,0.05
log2_anom_rework_15,oc,619,521,98,881,749,132,0.1
log2_anom_rework_15,oc,619,521,98,881,749,132,0.3
log2_anom_rework_15,oc,704,593,111,796,677,119,0.5
log2_anom_rework_15,sv,223,187,36,1277,1083,194,-1
log1_anom_earlylate_30,oc,82,57,25,1418,988,430,0.05
log1_anom_earlylate_30,oc,133,93,40,1367,952,415,0.1
log1_anom_earlylate_30,oc,490,322,168,1010,723,287,0.3
log1_anom_earlylate_30,oc,814,553,261,686,492,194,0.5
log1_anom_earlylate_30,sv,0,0,0,1500,1045,455,-1
log2_anom_rework_20,oc,0,0,0,1500,1192,308,0.05
log2_anom_rework_20,oc,0,0,0,1500,1192,308,0.1
log2_anom_rework_20,oc,0,0,0,1500,1192,308,0.3
log2_anom_rework_20,oc,1337,1051,286,163,141,22,0.5
log2_anom_rework_20,sv,273,228,45,1227,964,263,-1
log1,oc,66,66,0,1434,1434,0,0.05
log1,oc,159,159,0,1341,1341,0,0.1
log1,oc,428,428,0,1072,1072,0,0.3
log1,oc,656,656,0,844,844,0,0.5
log2_anom_skip_5,oc,778,736,42,722,693,29,0.05
log2_anom_skip_5,oc,778,736,42,722,693,29,0.1
log2_anom_skip_5,oc,778,736,42,722,693,29,0.3
log2_anom_skip_5,oc,787,745,42,713,684,29,0.5
log2_anom_skip_5,sv,67,65,2,1433,1364,69,-1
log2_anom_earlylate_10,oc,0,0,0,1500,1357,143,0.05
log2_anom_earlylate_10,oc,0,0,0,1500,1357,143,0.1
log2_anom_earlylate_10,oc,0,0,0,1500,1357,143,0.3
log2_anom_earlylate_10,oc,1500,1357,143,0,0,0,0.5
log2_anom_earlylate_10,sv,0,0,0,1500,1357,143,-1
log2_anom_all_10,oc,0,0,0,1500,1361,139,0.05
log2_anom_all_10,oc,0,0,0,1500,1361,139,0.1
log2_anom_all_10,oc,0,0,0,1500,1361,139,0.3
log2_anom_all_10,oc,751,675,76,749,686,63,0.5
log2_anom_all_10,sv,0,0,0,1500,1361,139,-1
log1_anom_rework_20,oc,80,68,12,1420,1132,288,0.05
log1_anom_rework_20,oc,153,124,29,1347,1076,271,0.1
log1_anom_rework_20,oc,474,388,86,1026,812,214,0.3
log1_anom_rework_20,oc,725,579,146,775,621,154,0.5
log1_anom_rework_20,sv,194,153,41,1306,1047,259,-1
log1_anom_skip_5,oc,67,66,1,1433,1366,67,0.05
log1_anom_skip_5,oc,120,114,6,1380,1318,62,0.1
log1_anom_skip_5,oc,412,392,20,1088,1040,48,0.3
log1_anom_skip_5,oc,764,733,31,736,699,37,0.5
log1_anom_skip_5,sv,48,43,5,1452,1389,63,-1
log1_anom_skip_10,oc,88,79,9,1412,1284,128,0.05
log1_anom_skip_10,oc,156,143,13,1344,1220,124,0.1
log1_anom_skip_10,oc,493,440,53,1007,923,84,0.3
log1_anom_skip_10,oc,750,676,74,750,687,63,0.5
log1_anom_skip_10,sv,92,87,5,1408,1276,132,-1
log1_anom_skip_15,oc,76,67,9,1424,1217,207,0.05
log1_anom_skip_15,oc,112,102,10,1388,1182,206,0.1
log1_anom_skip_15,oc,433,380,53,1067,904,163,0.3
log1_anom_skip_15,oc,750,649,101,750,635,115,0.5
log1_anom_skip_15,sv,170,149,21,1330,1135,195,-1
log1_anom_earlylate_5,oc,51,47,4,1449,1377,72,0.05
log1_anom_earlylate_5,oc,142,135,7,1358,1289,69,0.1
log1_anom_earlylate_5,oc,457,427,30,1043,997,46,0.3
log1_anom_earlylate_5,oc,779,739,40,721,685,36,0.5
log1_anom_earlylate_5,sv,0,0,0,1500,1424,76,-1
log2_anom_insert_20,oc,594,464,130,906,732,174,0.05
log2_anom_insert_20,oc,594,464,130,906,732,174,0.1
log2_anom_insert_20,oc,594,464,130,906,732,174,0.3
log2_anom_insert_20,oc,1191,938,253,309,258,51,0.5
log2_anom_insert_20,sv,308,257,51,1192,939,253,-1
log2_anom_skip_20,oc,83,68,15,1417,1155,262,0.05
log2_anom_skip_20,oc,174,137,37,1326,1086,240,0.1
log2_anom_skip_20,oc,892,715,177,608,508,100,0.3
log2_anom_skip_20,oc,892,715,177,608,508,100,0.5
log2_anom_skip_20,sv,323,249,74,1177,974,203,-1
log2_anom_rework_30,oc,0,0,0,1500,1024,476,0.05
log2_anom_rework_30,oc,0,0,0,1500,1024,476,0.1
log2_anom_rework_30,oc,0,0,0,1500,1024,476,0.3
log2_anom_rework_30,oc,715,482,233,785,542,243,0.5
log2_anom_rework_30,sv,440,293,147,1060,731,329,-1
log2_anom_skip_10,oc,82,73,9,1418,1261,157,0.05
log2_anom_skip_10,oc,854,764,90,646,570,76,0.1
log2_anom_skip_10,oc,854,764,90,646,570,76,0.3
log2_anom_skip_10,oc,854,764,90,646,570,76,0.5
log2_anom_skip_10,sv,144,126,18,1356,1208,148,-1
log2_anom_all_15,oc,0,0,0,1500,1293,207,0.05
log2_anom_all_15,oc,0,0,0,1500,1293,207,0.1
log2_anom_all_15,oc,0,0,0,1500,1293,207,0.3
log2_anom_all_15,oc,1500,1293,207,0,0,0,0.5
log2_anom_all_15,sv,0,0,0,1500,1293,207,-1
log2_anom_rework_10,oc,706,638,68,794,714,80,0.05
log2_anom_rework_10,oc,706,638,68,794,714,80,0.1
log2_anom_rework_10,oc,706,638,68,794,714,80,0.3
log2_anom_rework_10,oc,781,706,75,719,646,73,0.5
log2_anom_rework_10,sv,166,153,13,1334,1199,135,-1
